secname,the_geom,year_vol,shape_leng,volume
CENTRE13_D,"MULTILINESTRING ((-114.063165 51.043341, -114.063254 51.042356))",2016,109.721603258,2000
6AVS5,"MULTILINESTRING ((-114.076175 51.047821, -114.078665 51.047892))",2016,174.746543849,20000
8STW5,"MULTILINESTRING ((-114.081524 51.04194, -114.081503 51.042412, -114.081456 51.042904))",2016,107.349121695,13000
CRWFTCR2,"MULTILINESTRING ((-114.207078 51.125556, -114.207505 51.125132, -114.207785 51.124852, -114.208033 51.124598, -114.209191 51.123412))",2016,280.620526826,14000
STEWART1,"MULTILINESTRING ((-114.170828 51.01714, -114.17068 51.016945, -114.170665 51.016927, -114.170623 51.016877, -114.170596 51.016842, -114.170554 51.016779, -114.170541 51.016754, -114.170534 51.016732, -114.170527 51.016705, -114.170519 51.016665, -114.170524 51.016639, -114.170536 51.016625, -114.170558 51.016615, -114.170547 51.016566, -114.170542 51.016496, -114.170535 51.016393, -114.170535 51.016253, -114.170533 51.016121, -114.170535 51.016009, -114.170533 51.015859, -114.170541 51.015791, -114.170539 51.015573, -114.170539 51.015525, -114.17053 51.015464, -114.170514 51.015421, -114.170504 51.015392, -114.170483 51.015356, -114.170456 51.015325, -114.17041 51.01528, -114.170356 51.01524, -114.170289 51.0152, -114.170218 51.015168, -114.170165 51.015147, -114.170111 51.015128, -114.170006 51.015107, -114.16991 51.015099, -114.169838 51.015098, -114.169733 51.015107, -114.169662 51.015114, -114.169578 51.015133, -114.169517 51.015153, -114.169445 51.015186, -114.169381 51.015219, -114.169334 51.015245, -114.169246 51.015301, -114.168754 51.015613, -114.168673 51.015662, -114.168594 51.015712, -114.16854 51.015748, -114.168505 51.015776, -114.168464 51.015807, -114.168446 51.015825, -114.168397 51.015873, -114.168353 51.015936, -114.168309 51.016007, -114.168282 51.0161, -114.168268 51.016198, -114.168271 51.016278, -114.168271 51.016377, -114.168267 51.016488, -114.168249 51.01659, -114.168234 51.016649, -114.168218 51.016698, -114.168205 51.016739, -114.168183 51.016784, -114.168158 51.016838, -114.168129 51.016892, -114.168074 51.016977, -114.167955 51.01718, -114.167928 51.017215, -114.167898 51.017255, -114.167871 51.01729, -114.167853 51.017321, -114.167844 51.01734, -114.16784 51.017357, -114.167832 51.017393, -114.167827 51.01743, -114.167823 51.017471, -114.167825 51.017509, -114.167829 51.017545, -114.167839 51.017581, -114.167856 51.01764, -114.167883 51.017733))",2016,611.457782153,12000
5STW3,"MULTILINESTRING ((-114.073678 51.048696, -114.073705 51.048216, -114.073746 51.047752))",2016,105.054565817,8000
MAGONGA1,"MULTILINESTRING ((-113.944393 50.899434, -113.944324 50.899438, -113.944252 50.899442, -113.9442 50.899444, -113.944119 50.899448, -113.944055 50.899451, -113.943994 50.899455, -113.943924 50.899458, -113.943869 50.89946, -113.943794 50.899464, -113.943733 50.899466, -113.943665 50.89947, -113.943596 50.899472, -113.943522 50.899475, -113.943461 50.899477, -113.943388 50.89948, -113.943304 50.899483, -113.94325 50.899484, -113.943193 50.899486, -113.94313 50.899488, -113.943049 50.89949, -113.942987 50.899492, -113.942911 50.899494, -113.942844 50.899495, -113.94277 50.899497, -113.942708 50.899498, -113.942652 50.899499, -113.942592 50.8995, -113.942525 50.899502, -113.94246 50.899503, -113.942385 50.899503, -113.942284 50.899504, -113.942189 50.899505, -113.942091 50.899506, -113.941959 50.899507, -113.94183 50.899507, -113.941707 50.899506, -113.941615 50.899506, -113.941521 50.899505, -113.941445 50.899505, -113.941371 50.899504, -113.941273 50.899503, -113.941189 50.899503, -113.941117 50.899502, -113.941023 50.899501, -113.940948 50.8995, -113.940795 50.899499, -113.94072 50.899498, -113.940624 50.899497, -113.940546 50.899496, -113.94043 50.899495, -113.940364 50.899494, -113.940315 50.899494, -113.940225 50.899493, -113.940126 50.899492, -113.940029 50.899491, -113.939942 50.89949, -113.93986 50.89949, -113.939767 50.899489, -113.939715 50.899488, -113.939673 50.899488, -113.937158 50.899462))",2016,509.176999242,19000
26AVS1,"MULTILINESTRING ((-114.141117 51.030033, -114.140446 51.030049, -114.139734 51.030049, -114.139031 51.030052, -114.13833 51.03005, -114.137614 51.030046, -114.136908 51.03005, -114.136198 51.030051, -114.135496 51.03005))",2016,394.308824235,10000
32AVNE3,"MULTILINESTRING ((-114.032795 51.081411, -114.032584 51.081404, -114.032235 51.081407, -114.031966 51.081395, -114.03158 51.081398, -114.03125 51.081407, -114.030973 51.081417, -114.029631 51.081412), (-114.029646 51.081415, -114.028457 51.081405, -114.027237 51.081419))",2016,390.58875038,45000
HERITAGEDRG,"MULTILINESTRING ((-114.028747 50.989642, -114.027278 50.989311, -114.026368 50.989457, -114.025682 50.989647, -114.025516 50.989686, -114.025329 50.989681, -114.02512 50.989607, -114.024994 50.989511, -114.024935 50.989252, -114.025006 50.988937, -114.025077 50.98862, -114.025233 50.988259, -114.025286 50.987955, -114.025462 50.98773, -114.026014 50.987345, -114.026738 50.987111))",2016,602.751454917,24000
