year,segment_name,the_geom,length_m,volume
2017,5AVS8,"MULTILINESTRING ((-114.0701479559 51.0485978122, -114.0691867156 51.0485664617, -114.0683208229 51.0485461436, -114.067765683 51.0485289854))",167.217723391,21000
2017,SUNHRBRDSE,"MULTILINESTRING ((-114.0242421421 50.9007203471, -114.0244343279 50.9007207502, -114.024823581 50.9007206924, -114.0250736069 50.9007213079, -114.0260680706 50.9007214226, -114.0263288888 50.9007254844, -114.0265970804 50.9007296604, -114.0267419641 50.9007218865, -114.0268510578 50.9007160328, -114.0270585298 50.9007001536, -114.0272302259 50.9006774949, -114.027437687 50.9006435174, -114.0276308321 50.9005982326, -114.0277965812 50.900538687, -114.0278994986 50.9005017136))",261.924312661,5000
2017,11STNE1_B,"MULTILINESTRING ((-114.0364191079 51.1062000926, -114.0364295272 51.1021973598))",445.261213451,14000
2017,MIDLAKE1,"MULTILINESTRING ((-114.0673384562 50.9134060238, -114.0662216465 50.9136753699, -114.0659149949 50.9137509933, -114.0655530409 50.9138395214, -114.0650709161 50.9139589482, -114.0647707143 50.9140315848, -114.0646617344 50.9140583399, -114.0643819469 50.9141270985, -114.0641356301 50.914187873, -114.0639136637 50.9142419873, -114.0636113423 50.9143167842, -114.0633587529 50.9143780971, -114.0631608016 50.9144275735, -114.0629552131 50.9144780192, -114.0627088912 50.9145377172, -114.0625417409 50.9145787695, -114.0623091824 50.9146364106, -114.0620368845 50.9147025606, -114.0617995186 50.9147617153, -114.0616181935 50.9148054725))",431.323998252,24000
2017,32STNE_3,"MULTILINESTRING ((-113.9886392668 51.0814903496, -113.9886610386 51.0863649198, -113.9886839269 51.0866831428, -113.9886379026 51.0870592175, -113.9885000267 51.0873629604, -113.9882013962 51.0876088286, -113.9876730737 51.0879269948, -113.9874662844 51.0882451944, -113.9874202865 51.0884766221, -113.9874201884 51.0888382368))",844.840544069,5000
2017,FAIRMOUNT1,"MULTILINESTRING ((-114.063819693 50.9938251728, -114.0638201459 50.9941554025, -114.0638200193 50.9957798542, -114.0638322317 50.9965126564, -114.0638110777 50.9977339252))",434.810923063,21000
2017,100STSE1,"MULTILINESTRING ((-113.8887110455 50.9796585278, -113.8887449332 50.9703127097))",1039.60121664,5000
2017,8STW5,"MULTILINESTRING ((-114.0815236979 51.0419401515, -114.081502759 51.042411624, -114.0814558106 51.0429041181))",107.349121695,15000
2017,1STW5,"MULTILINESTRING ((-114.0656615314 51.0433951649, -114.0655698745 51.0446805319))",143.126070553,11000
2017,BARLOW1,"MULTILINESTRING ((-114.0003768548 51.1342125211, -114.0003767869 51.1349938112, -114.0003770691 51.1352655774, -114.0003770693 51.1352870005, -114.0003803487 51.1353097136, -114.0003885462 51.1353319107, -114.0004037108 51.1353577207, -114.0004205157 51.1353760459, -114.0004700501 51.1354128419, -114.0004958526 51.1354295867, -114.0005003283 51.1354791508, -114.0005069703 51.1355446732, -114.0005194622 51.1356141375, -114.0005430768 51.1357224108, -114.0005688203 51.1358085948, -114.0005939108 51.1358922392, -114.0006241667 51.1359717026, -114.0006529465 51.1360302534, -114.0006839408 51.136077187, -114.0008482876 51.136335474, -114.0010252451 51.1366115986, -114.0011867748 51.1368636625, -114.0013160045 51.1370654343, -114.0013190642 51.1371815151, -114.0013228249 51.1372247307, -114.0013284673 51.1372596579, -114.0013401803 51.1373163227, -114.0013556925 51.1373651621, -114.0013739969 51.1374109449, -114.0014026716 51.1374810949, -114.0014534006 51.1376022937, -114.0014759482 51.1376673088, -114.0015041208 51.1377551089, -114.0015186933 51.1378080924, -114.0015299489 51.1378498984, -114.0015449919 51.1379099855, -114.0015576855 51.1379662242, -114.0015708325 51.1380320512, -114.0015802355 51.1380909544, -114.0015877579 51.1381471932, -114.0015994999 51.138241403, -114.0016032627 51.1382949773, -114.0016074785 51.1383883467, -114.0016093612 51.1384522815, -114.001609369 51.1386757654, -114.0016086267 51.1387799853, -114.0016087387 51.1394535085, -114.0016087752 51.1396821281))",622.976066361,38000
2017,WOODPARK2,"MULTILINESTRING ((-114.1087157461 50.9414549598, -114.1088607451 50.9390759027, -114.1100853496 50.9368503834, -114.1110467022 50.9360451051, -114.1120984505 50.9357795184, -114.1140137796 50.9357565946, -114.1178806425 50.9356979287))",1125.25826885,5000
2017,50AVS3,"MULTILINESTRING ((-114.0676939175 51.0087287197, -114.0671306618 51.0087202086, -114.0670356248 51.0087196357, -114.066293493 51.0087151597, -114.0655097173 51.0087149652, -114.0651146481 51.008714315, -114.0650832175 51.0086957587, -114.0650598662 51.0086831419, -114.0650265248 51.008676846, -114.0649865223 51.0086740617, -114.0648787472 51.0086741216, -114.0640591858 51.0086739121, -114.0632189419 51.008673211, -114.0631712676 51.0086766583, -114.0631333507 51.0086828368, -114.0630997709 51.0086917512, -114.0630532934 51.0087151686, -114.0621315316 51.0087136855, -114.0613714217 51.0087135577, -114.0599157498 51.0087132983, -114.0570248155 51.0087127267))",751.421220003,7000
2017,10AVS1A,"MULTILINESTRING ((-114.0946362679 51.04420708, -114.0967078512 51.0442634921))",145.403043115,9000
2017,16AV/TCH19,"MULTILINESTRING ((-113.9350257075 51.0668266193, -113.9346883468 51.0668239448, -113.934347552 51.066821243, -113.9340067587 51.0668185394, -113.9327137214 51.0667929943, -113.9321973247 51.0667915552, -113.931680928 51.0667901137, -113.9311488626 51.0667793088, -113.9306168458 51.0667675899, -113.930084882 51.0667549588, -113.9295529756 51.0667414148, -113.9290211293 51.0667269585, -113.9284893476 51.0667115902, -113.9279576347 51.0666953097, -113.9274259935 51.0666781162, -113.9267249538 51.0666778101, -113.9260239156 51.0666775007, -113.9256533692 51.0666774382, -113.9252828243 51.0666773746, -113.9249122779 51.0666773106, -113.924541733 51.0666772446, -113.9241711881 51.0666771775, -113.9238006417 51.06667711, -113.9234300968 51.0666770405, -113.9230595504 51.0666769698, -113.9226890055 51.0666768979, -113.9223184606 51.0666768258, -113.9219479142 51.0666767516, -113.9215773693 51.0666766762, -113.921206823 51.0666766005, -113.9208362781 51.0666765228))",994.853347749,38000
2017,CNYNMDWS3,"MULTILINESTRING ((-114.0681387366 50.9312455517, -114.0692262822 50.9317514602, -114.0695074096 50.9318893755, -114.0699335808 50.9321009917, -114.0700416899 50.9321504523, -114.0701843399 50.9322165405, -114.0702957147 50.9322689566, -114.0703341602 50.9322863397, -114.0708920616 50.9325458475, -114.0714094407 50.9327865014, -114.0714983884 50.9328283516, -114.0715815113 50.9328660781, -114.0716775207 50.9329103494, -114.0717632195 50.9329484598, -114.0718366754 50.932981181, -114.0719075504 50.9330100481, -114.0719784235 50.9330385303, -114.072037915 50.9330629794, -114.072103633 50.9330879955, -114.0721693492 50.9331118546, -114.0722498824 50.9331403307, -114.072343941 50.9331707257, -114.0724302664 50.9331976563, -114.0724944292 50.9332167623, -114.0725524068 50.9332325306, -114.0726161804 50.9332502235, -114.0726947704 50.9332702194, -114.0727746447 50.9332890584, -114.0728480771 50.9333059739, -114.0729414763 50.933326346, -114.0729976734 50.9333369307, -114.0730910684 50.933354604, -114.0732128005 50.9333753438, -114.0733293803 50.9333945451, -114.073440803 50.9334110506, -114.073547074 50.9334264032, -114.0736897501 50.9334466745, -114.0738655795 50.9334720058, -114.0741279 50.9335110598, -114.0743410847 50.933540992, -114.0763528637 50.9338328998))",657.09813777,23000
2017,6STW_2,"MULTILINESTRING ((-114.0761211968 51.0487979671, -114.0761231293 51.0487701184, -114.0761668659 51.0478281883))",107.924198484,7000
2017,SUNPARKPZA,"MULTILINESTRING ((-114.0578454391 50.9020759423, -114.0571717905 50.9013980323, -114.0568228226 50.9012518638, -114.056224311 50.9010667909, -114.0552397474 50.9010160559))",234.848422154,7000
2017,HERITAGE5,"MULTILINESTRING ((-114.0500804264 50.9807067387, -114.049983036 50.9807316013, -114.0498781995 50.9807596476, -114.0495183052 50.9808565215, -114.0492467654 50.9809252188, -114.0490803048 50.9809958644, -114.0489425469 50.981073562, -114.0488080033 50.9811598847, -114.0486975242 50.9812614377, -114.0485870696 50.9813937583, -114.048484767 50.9815871451, -114.0484543993 50.9816695909, -114.0484544582 50.9817261423, -114.0484790198 50.9817804873, -114.0484716248 50.9823581634, -114.0484712934 50.9826840826, -114.0484658159 50.984425207, -114.0484697084 50.9846536791, -114.0484588951 50.9847365572, -114.0484429877 50.9848170533, -114.0484015377 50.9849738621, -114.0483489038 50.9851562155, -114.0482915312 50.9852975395, -114.0482309675 50.9854315849, -114.0481765768 50.9855386914, -114.0481362601 50.9855974862, -114.0480967708 50.9856478752, -114.0480547894 50.9856933234, -114.0480192647 50.9857310359, -114.0479756707 50.9857803514, -114.0478718327 50.985891359, -114.0477813351 50.9859785622, -114.0476685502 50.9860754602, -114.0475487977 50.9861741211, -114.047373681 50.986301356, -114.0472260556 50.9864000278, -114.0470895632 50.9864846079, -114.0469683853 50.9865533336, -114.0467806842 50.9866473516, -114.0466232723 50.9867196127, -114.0464143114 50.9868068631, -114.0461543339 50.986896422, -114.0459732107 50.9869493212, -114.0457906879 50.9869986994, -114.0456179125 50.9870392679, -114.045405497 50.9870840256, -114.0451964812 50.9871202062, -114.0450083623 50.9871475728, -114.0448258137 50.9871705356, -114.0445978419 50.9871898502, -114.0443720804 50.9872031432, -114.0441281961 50.9872120411, -114.0441199398 50.9872124047))",958.737812351,18000
2017,BARLOW4,"MULTILINESTRING ((-114.0014851578 51.0926761035, -114.0014876068 51.0927871168, -114.0014900014 51.0928956274, -114.0015140425 51.0939850882, -114.0015816285 51.0960419806))",374.479689037,12000
