YEAR,SECNAME,Shape_Leng,VOLUME,multilinestring
2018,5AVS12,172.5702739,22000,"MULTILINESTRING ((-114.06036700906716 51.04831941917631, -114.05790835100508 51.04824965329041))"
2018,94AVSEWBON,189.4514908,5000,"MULTILINESTRING ((-114.06876825342002 50.96863425573366, -114.0714654457777 50.96864796962547))"
2018,12STNE29,261.4539388,5000,"MULTILINESTRING ((-114.03372206187294 51.053232488239935, -114.03370889695204 51.05088210489753))"
2018,100AVNE1,804.3530062,2000,"MULTILINESTRING ((-114.01318801277267 51.143369698984344, -114.01185606469929 51.14336996653213, -114.01052411660841 51.14337021891259, -114.00919216850117 51.143370456125645, -114.0078602203788 51.1433706781714, -114.00200985736682 51.143370556434334, -114.0016930059354 51.14337055875275))"
2018,106AVSE1,507.3208691,14000,"MULTILINESTRING ((-113.98128756128924 50.95784114177629, -113.98123806667255 50.95784139004773, -113.98116948007568 50.95784137901059, -113.98106061975949 50.95784136140979, -113.98096196777304 50.95784209242986, -113.98084393668728 50.95784156880037, -113.98068262930619 50.957842546402254, -113.9805489037943 50.957842029766844, -113.9804412388168 50.95784276783572, -113.98032832899017 50.95784258435966, -113.98017559065423 50.95784313388748, -113.98002408522711 50.95784310807488, -113.97982297970653 50.957843643465736, -113.97957372337706 50.95784412245345, -113.97936720607464 50.9578446561131, -113.97919856690515 50.95784519615945, -113.97893849153225 50.95784512797735, -113.97880953135619 50.957845104652456, -113.97872566311638 50.957845089406895, -113.97866163372467 50.9578462176423, -113.97861203230542 50.95784962741689, -113.97855097119741 50.95785585339006, -113.97849505355275 50.957866670504785, -113.97842741062881 50.95788204329062, -113.97837762096451 50.95789223488693, -113.97826267250157 50.957892503923944, -113.97811421015123 50.957892476200335, -113.97799833661145 50.95789245443119, -113.97788443999923 50.957892810495906, -113.97775313213923 50.957893542506945, -113.97752829586592 50.957893106609895, -113.97729498106257 50.957894200505606, -113.97714670973484 50.95789357825814, -113.97701450380714 50.95789408002151, -113.97689483987453 50.957893789412616, -113.9767986274059 50.95789455695431, -113.97666543220309 50.95789506531796, -113.97657260396313 50.95789423045612, -113.97642349653907 50.95789473085632, -113.97618818498408 50.957895203635275, -113.97597401522619 50.95789568658381, -113.97579452837785 50.95789564593002, -113.97563525086672 50.95789587531792, -113.97550684127168 50.95789611186456, -113.97534250911265 50.95789660589325, -113.97515916797481 50.95789602225941, -113.9749124676007 50.95789677412547, -113.97475625167174 50.95789727986018, -113.97462877883729 50.95789720459452, -113.97454944528366 50.95789752535423, -113.97440694840351 50.95789749421819, -113.974316882428 50.95789774144787, -113.9742342478933 50.957898253650804, -113.97415855985807 50.95789823693011, -113.97407691216077 50.957897991394205))"
2018,10STW4,60.37422864,13000,"MULTILINESTRING ((-114.08590674401066 51.052502613990775, -114.08587408872434 51.05215627293381, -114.08586396354688 51.05209382966051, -114.08584829677129 51.05204191652356, -114.08583265584006 51.052004737522566, -114.08581070102306 51.05196538044973))"
2018,10STW5,281.179676,19000,"MULTILINESTRING ((-114.08349310975662 51.04991136851226, -114.0838078328152 51.05024568876404, -114.08563617687014 51.051738985376545, -114.08567214937355 51.05177163846141, -114.08572230768046 51.05183054371247, -114.08575017648538 51.051864906268406, -114.08578252112547 51.05191400148848, -114.08581070102306 51.05196538044973))"
2018,11STNE1,931.0444477,15000,"MULTILINESTRING ((-114.03642952718342 51.102197359355145, -114.03642902192107 51.10288613524993, -114.0364209147006 51.105590094255305, -114.03642184533136 51.10620011467559, -114.03641462953044 51.106972030149194, -114.03641616343823 51.10733580881274, -114.03641369905223 51.108001367177074, -114.03641143512536 51.10847140714073, -114.03641064341328 51.10865967730693, -114.03644399755756 51.108788177337146, -114.03646054628602 51.108881606841436, -114.03647876799951 51.10898497655735, -114.03650678809778 51.110143956268985, -114.03650248332038 51.11045505731362, -114.03650029277992 51.11056401413161))"
2018,14STNW17A,307.3868796,17000,"MULTILINESTRING ((-114.0946892476151 51.027677409434595, -114.09468382854604 51.02796050322095, -114.09468379492536 51.02814062030964, -114.09468371051823 51.02860438146645, -114.0946836257652 51.02906027384981, -114.09468354005072 51.02952268916739, -114.09468345500845 51.02997983465123, -114.094683370464 51.03044072073692))"
2018,14STNW2,363.4454095,16000,"MULTILINESTRING ((-114.10618098758506 51.13157038042628, -114.10621301562199 51.131685009222664, -114.10627828969248 51.13188822280012, -114.10710831005287 51.1347850427257))"
