"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.01","51.12","CALGARY INTL A","3031092","2018-01-01 00:00","2018","01","01","00:00","-28.1","","-31.4","","74","","36","","1","","24.1","","89.94","","","","-29","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-01-01 01:00","2018","01","01","01:00","-28.6","","-32.0","","73","","36","","1","","24.1","","89.95","","","","-30","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-01-01 02:00","2018","01","01","02:00","-29.1","","-32.7","","72","","36","","3","","24.1","","89.95","","","","-32","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2018-01-01 03:00","2018","01","01","03:00","-30.0","","-33.6","","71","","36","","2","","24.1","","89.93","","","","-32","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-01-01 04:00","2018","01","01","04:00","-27.6","","-30.9","","74","","18","","3","","24.1","","89.92","","","","-31","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-01-01 05:00","2018","01","01","05:00","-27.1","","-30.4","","74","","9","","4","","24.1","","89.89","","","","-31","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2018-01-01 06:00","2018","01","01","06:00","-26.6","","-29.9","","74","","36","","2","","24.1","","89.89","","","","-29","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-01-01 07:00","2018","01","01","07:00","-22.7","","-25.7","","77","","22","","6","","24.1","","89.88","","","","-28","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-01-01 08:00","2018","01","01","08:00","-22.3","","-25.3","","77","","22","","9","","64.4","","89.83","","","","-29","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2018-01-01 09:00","2018","01","01","09:00","-19.8","","-22.6","","79","","21","","9","","64.4","","89.81","","","","-27","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-01-01 10:00","2018","01","01","10:00","-18.0","","-20.6","","80","","22","","16","","64.4","","89.78","","","","-27","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-01-01 11:00","2018","01","01","11:00","-16.4","","-18.9","","81","","21","","12","","64.4","","89.75","","","","-24","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2018-01-01 12:00","2018","01","01","12:00","-14.5","","-20.0","","63","","21","","10","","64.4","","89.68","","","","-21","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-01-01 13:00","2018","01","01","13:00","-13.1","","-19.2","","60","","20","","12","","64.4","","89.59","","","","-20","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-01-01 14:00","2018","01","01","14:00","-11.1","","-17.6","","59","","21","","14","","64.4","","89.52","","","","-18","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2018-01-01 15:00","2018","01","01","15:00","-10.0","","-16.9","","58","","20","","6","","64.4","","89.52","","","","-14","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2018-01-01 16:00","2018","01","01","16:00","-8.3","","-15.9","","55","","19","","15","","64.4","","89.49","","","","-15","","NA"
