BOUND,CREATED_DT,DISTANCE,SPEED,STREET_NAME,multiline
N,,0.81,60,MILLSIDE BV SE,"MULTILINESTRING ((-114.073657541927 50.913577283979, -114.073651712573 50.913632013001, -114.073643732584 50.913725187947, -114.073634587776 50.91381558214, -114.073631723247 50.913905387125), (-114.073631723247 50.913905387125, -114.073628017171 50.914021535851, -114.073629382726 50.914151554647, -114.073636539247 50.914271837283, -114.073643667251 50.914375828372, -114.073657814012 50.914492017071), (-114.073657814012 50.914492017071, -114.073664433685 50.914548703432, -114.07367509928 50.914618951254, -114.073687008866 50.914690768832, -114.07370139649 50.914759444658, -114.073715157308 50.914823803911, -114.073730161507 50.914889339159, -114.073737038939 50.914919163422, -114.073751400655 50.914971355311, -114.073758898767 50.91500157204, -114.073763902379 50.915020896341), (-114.073763902379 50.915020896341, -114.073778875428 50.915070244323, -114.073795110735 50.915129106452, -114.073816943444 50.915194245408, -114.073837530373 50.915256637824, -114.07386311831 50.915340220843, -114.073879961606 50.91539044774, -114.073894312441 50.915435575323, -114.073921144745 50.915519942361, -114.073936743379 50.915568993254, -114.073959207286 50.915640018389, -114.073977921854 50.915695346771, -114.074002253038 50.915769903757, -114.074022847495 50.915835828273, -114.074038441983 50.915882131829, -114.07406652175 50.915970815901, -114.074085864724 50.916031245652, -114.074112071262 50.916112473749, -114.074125171672 50.916151713686, -114.074137899571 50.916192785107), (-114.074137899571 50.916192785107, -114.074164484438 50.916275714744, -114.074185698149 50.916340853113, -114.074203170322 50.916396183141, -114.07421190611 50.916423650825, -114.074223184098 50.9164578971), (-114.074223184098 50.9164578971, -114.074235613626 50.916495460826, -114.0742468408 50.916527244787, -114.074254251862 50.91655065885), (-114.074254251862 50.91655065885, -114.074271891202 50.916605482626, -114.074288046265 50.916652519365, -114.07430189439 50.916694040447, -114.074314264362 50.916729848467), (-114.074314264362 50.916729848467, -114.074331896767 50.91678201751, -114.074348056579 50.916831957984, -114.074363748244 50.916877252757, -114.074379445067 50.916924871421, -114.074396061988 50.916974231745, -114.074428375898 50.9170703387, -114.074445451352 50.917119117075, -114.074482851317 50.917235840977, -114.074511467494 50.91731829995, -114.07455855704 50.917461735717, -114.074591798238 50.917562779297, -114.074623183988 50.917653368761, -114.074665654089 50.917780253369, -114.074709968389 50.917911202026, -114.074750133291 50.918032570053, -114.074784758068 50.91813651643, -114.074826297738 50.918255560548, -114.074859545186 50.918360670179, -114.07489693413 50.91846926164, -114.074906638743 50.918504395253, -114.074920966459 50.918557822204, -114.07492837845 50.918595571558, -114.074934888477 50.918644647902, -114.074938171273 50.918685594026, -114.074940529708 50.91872392737, -114.074941514019 50.91874703715), (-114.074941514019 50.91874703715, -114.074941170074 50.918836608534, -114.074941257772 50.918891207016, -114.074941817905 50.918953935686, -114.07494156938 50.919085204094, -114.074941757839 50.919202531536, -114.07494195703 50.919326539385, -114.074942721961 50.919516760388, -114.074940977736 50.919574844536, -114.074941003644 50.919612223742), (-114.074941003644 50.919612223742, -114.074936924987 50.919740811999, -114.074939364726 50.919893480985, -114.074938435069 50.919998269078, -114.074938696003 50.920165145339, -114.07493792553 50.920421281445, -114.0749388919 50.920573099114), (-114.0749388919 50.920573099114, -114.074938646667 50.920779030621))"
N/A,2018/10/30,,40,DEERFOOT TR SE RAMP,"MULTILINESTRING ((-114.034764352652 50.996224143932, -114.034870203979 50.996020318821, -114.034945096682 50.995872706258, -114.035000641525 50.995766179273, -114.035050107864 50.99567145141, -114.035090645674 50.995600432334, -114.03512278509 50.995547591364, -114.035164077901 50.995480616549, -114.035217389908 50.995402852123, -114.035255553473 50.995351909745, -114.035306621037 50.995288527852, -114.035370459792 50.995216153158, -114.035420034079 50.995165804193, -114.035456736471 50.995130896416, -114.035507822381 50.99509223191, -114.035570932154 50.995049068815, -114.035656585998 50.994999607739, -114.035743587227 50.994957505247, -114.035844275605 50.994908488024, -114.035966570497 50.994858692738, -114.03613564938 50.994793925617, -114.036231626717 50.994758544361, -114.036375158316 50.994705919258, -114.036460071553 50.994673085375, -114.036523194338 50.994648348175, -114.036559261689 50.994631708441, -114.036616004075 50.994605365808, -114.036679120662 50.994572988085, -114.036767026761 50.994522626502, -114.036864698479 50.994462374778, -114.036948091996 50.994407520475, -114.037037990529 50.994350171176, -114.037098094664 50.9943119526, -114.037156696565 50.994276429617, -114.03721079124 50.994244504862, -114.03727315406 50.994211228075, -114.037331488105 50.994186624113, -114.037388599089 50.994166382371, -114.037463746417 50.994141640811, -114.037555430808 50.99411689299, -114.037634342339 50.99409844208, -114.037711002482 50.994086282913, -114.037775252719 50.994078201892, -114.037850414688 50.994071886496, -114.037954894864 50.994067807186, -114.038059377641 50.994068672178, -114.038142639239 50.994072688643, -114.038231490366 50.994076387677, -114.03841181863 50.994091408939, -114.038613328732 50.994108958949, -114.039016501062 50.994143158896, -114.039173032075 50.994156652366))"
S,2018/10/23,,60,HARVEST HILLS BV N,"MULTILINESTRING ((-114.068566084381 51.166713797578, -114.068594322365 51.166674574918, -114.068633072991 51.166616530964, -114.068681524622 51.166551610593, -114.068725127278 51.166491273222, -114.068767523857 51.16643628083, -114.068848556117 51.166340568215, -114.068918824434 51.166257312407, -114.068987886567 51.166179401552, -114.069084618414 51.166068267832, -114.069176696365 51.165961332203, -114.069353478737 51.165760641972, -114.069463560373 51.165633444683, -114.069567753059 51.165513522435, -114.069657316731 51.165411376645, -114.069792918244 51.16525577215, -114.06988362069 51.165153785516, -114.069964503362 51.165058603479), (-114.070543454444 51.164394966427, -114.070578838694 51.164349588313, -114.07060851974 51.164309912106), (-114.070333855386 51.164635226863, -114.070396715489 51.164563450654, -114.070469406037 51.16448019243, -114.070543454444 51.164394966427), (-114.069964503362 51.165058603479, -114.070086852956 51.164918893788, -114.070211640525 51.164776055937, -114.070290102574 51.164686427966, -114.070333855386 51.164635226863))"
N,2019/10/09,4.37,70,CROWCHILD TR SW,"MULTILINESTRING ((-114.117825190175 51.00500229492, -114.117824089416 51.004915928339, -114.11782224278 51.004739291444, -114.117812905422 51.00446124098, -114.117819529254 51.004229975306, -114.11781460816 51.003990994531, -114.117804059763 51.003818084563, -114.117799029211 51.003536395135, -114.117811370651 51.003306241991, -114.117822310705 51.003080874623, -114.11785299965 51.002714407668, -114.117867710582 51.002589632356, -114.11786775101 51.002589280814, -114.117953998103 51.001857716901), (-114.117825190175 51.00500229492, -114.117823758814 51.005255649555, -114.117830106039 51.005459059806, -114.117841246211 51.005839482415, -114.117843211722 51.006024184802, -114.117852981382 51.006400100373, -114.117853699732 51.006522206252), (-114.117853699732 51.006522206252, -114.11786046016 51.00675809887, -114.117866781104 51.007130912796, -114.117867696055 51.007491377476))"
N/A,2018/10/30,,80,STONEY TR NE RAMP,"MULTILINESTRING ((-113.918850808952 51.062448223076, -113.918657276573 51.062637243694, -113.918463742616 51.062826263985, -113.918270207084 51.063015283949, -113.918076668546 51.063204304484, -113.917938920707 51.06335090459, -113.91780040355 51.063497216318, -113.917661117071 51.063643238767, -113.917521064123 51.06378896924, -113.917209126314 51.064107930911, -113.916894054872 51.064425667805, -113.916575862617 51.064742168219, -113.916254560946 51.065057420449, -113.916141356481 51.06517015468, -113.91602057859 51.065279724377, -113.915892448751 51.065385927408, -113.915757205554 51.065488567944, -113.915615096146 51.065587457358, -113.915466383364 51.065682413322, -113.915311340027 51.06577326071, -113.915150253212 51.065859832497, -113.914983417125 51.065941969754, -113.914811141663 51.06601951896, -113.914633743839 51.066092340081, -113.914451549226 51.066160296691, -113.914264894798 51.066223264056, -113.914074121797 51.066281127339, -113.913879585726 51.066333778904, -113.91368164207 51.066381122807, -113.913569708914 51.066405208914, -113.913457019312 51.066427852406, -113.913343621802 51.066449042529, -113.913229560638 51.066468771223, -113.913114884352 51.06648703043, -113.91299964148 51.066503812096, -113.912883879128 51.066519109061, -113.912767645824 51.066532915967, -113.912650990103 51.066545225656, -113.912533959063 51.066556034566, -113.912416604091 51.066565336443, -113.912298970857 51.066573129521))"
N/S,,0.2,30,33A ST SE,"MULTILINESTRING ((-113.98542922898 51.028314573905, -113.984750283847 51.028314325466, -113.984751882024 51.026940945721))"
N/A,2018/11/07,,40,DEERFOOT TR SE RAMP,"MULTILINESTRING ((-113.975198107169 50.900558749208, -113.975005162358 50.90171256435, -113.974987162497 50.901775968442, -113.974961518711 50.901838312774, -113.974928384711 50.901899227887, -113.974887955438 50.901958355117, -113.974847480224 50.902007566404, -113.97480195033 50.902054978594, -113.974751563476 50.902100384057, -113.974696540124 50.902143584157, -113.974637122064 50.902184389251, -113.974573568139 50.902222622287, -113.974506157095 50.902258116107, -113.974435183314 50.902290713443, -113.974360956812 50.902320274114, -113.974283803242 50.902346666932, -113.974204058199 50.902369777794, -113.974122072915 50.902389505185, -113.974038204304 50.902405762877, -113.973952819222 50.902418479027, -113.973866293052 50.902427598879, -113.973779001165 50.902433082957, -113.973710946977 50.902435084999, -113.973646897427 50.902435130792, -113.973581903535 50.902433238103, -113.973517125434 50.902429395505, -113.97345245509 50.902423584995, -113.973388294842 50.902415831837, -113.973324793968 50.902406153146, -113.973262094634 50.902394570532, -113.973200277877 50.902381095702, -113.973139548407 50.902365770956, -113.973080045536 50.90234863139, -113.97302190431 50.902329714795, -113.972965256928 50.902309065253, -113.972910232742 50.902286729545, -113.972856958259 50.902262758046, -113.972805552872 50.902237206525, -113.972755406883 50.902209713444, -113.972707427086 50.902180717728, -113.972661724336 50.902150285031, -113.972618406641 50.902118488201, -113.972580219607 50.90207754708, -113.972544917869 50.902035583567, -113.972487609279 50.901955786931, -113.97244071922 50.901873315516, -113.972404558673 50.901788711504, -113.972379363257 50.901702532337, -113.972365566019 50.90161803968, -113.972362310868 50.901533123392, -113.972369617341 50.901448307593, -113.972387442419 50.901364117285, -113.972410277193 50.9012947463, -113.972440256588 50.901226471973, -113.972490480157 50.901156389135, -113.972548403343 50.901088722788, -113.9726235535 50.901014873564, -113.9727078651 50.90094509259, -113.972800793362 50.900879832812, -113.972901732404 50.900819519295, -113.973010026613 50.90076454293, -113.973124972074 50.900715262234, -113.973245820833 50.900671997057, -113.973371789426 50.90063502769))"
N/S,,2.05,60,68 ST NE,"MULTILINESTRING ((-113.935104887862 51.139653760521, -113.935105144538 51.139682686459, -113.93510528224 51.139796475833, -113.935106516351 51.143463189568, -113.935100161349 51.147083974432, -113.935093805095 51.150704756141, -113.935087447588 51.154325535596))"
E/W,,0.44,30,30A AV SE,"MULTILINESTRING ((-113.987429473104 51.026007127526, -113.98742959071 51.026447211434, -113.985430960581 51.026447013522, -113.982572731189 51.026455608405, -113.982563988963 51.026017626808))"
N/S,,0.06,70,14 ST,"MULTILINESTRING ((-114.094733024123 51.096976105846, -114.094731143495 51.096614699861, -114.094732312571 51.096421081511))"
