Camera Location,Quadrant,Camera URL,longitude,latitude
Stoney Trail / Deerfoot Trail SE,SE,http://trafficcam.calgary.ca/loc86.jpg,-113.97660631022806,50.90072571246784
Memorial Drive / 52 Street E,NE,http://trafficcam.calgary.ca/loc3.jpg,-113.95581817525272,51.05325298171985
Crowchild Trail / Shaganappi Trail NW,NW,http://trafficcam.calgary.ca/loc37.jpg,-114.1493789546495,51.09884942279791
Crowchild Trail / Sarcee Trail NW,NW,http://trafficcam.calgary.ca/loc126.jpg,-114.17820422214878,51.11125512340146
Airport Trail / Barlow Trail NE,NE,http://trafficcam.calgary.ca/loc114.jpg,-114.00145069624071,51.13935244575022
24 Avenue / Crowchild Trail NW,NW,http://trafficcam.calgary.ca/loc16.jpg,-114.1182194553086,51.074189369141735
50 Avenue / 52 Street SE,SE,http://trafficcam.calgary.ca/loc21.jpg,-113.95842201782752,51.00888022571576
11 Avenue / Macleod Trail S,SE,http://trafficcam.calgary.ca/loc34.jpg,-114.05835236417742,51.04224801262096
Memorial Drive / 9 Street NW,NW,http://trafficcam.calgary.ca/loc59.jpg,-114.08118076450418,51.05362590158347
Country Hills Blvd / Royal Birch Blvd NW,NW,http://trafficcam.calgary.ca/loc78.jpg,-114.21305656446863,51.14985314410075
Memorial Drive / Deerfoot Trail SE,SE,http://trafficcam.calgary.ca/loc17.jpg,-114.01816911622933,51.047852151211686
16 Avenue / Deerfoot Trail NE,NE,http://trafficcam.calgary.ca/loc50.jpg,-114.02813590634034,51.067286027060014
5 Avenue / 1 Street SE,SE,http://trafficcam.calgary.ca/loc36.jpg,-114.06038617243854,51.0483314104326
Stoney Trail / Deerfoot Trail NE,NE,http://trafficcam.calgary.ca/loc84.jpg,-114.00138489284953,51.17520856108407
Glenmore Trail / Macleod Trail S (West),SW/SE,http://trafficcam.calgary.ca/loc27.jpg,-114.07155102677936,50.99391748682024
Memorial Drive / 12 Street NE,NE,http://trafficcam.calgary.ca/loc102.jpg,-114.032366798852,51.04824606812134
Stoney Trail / 52 Street SE,SE,http://trafficcam.calgary.ca/loc7.jpg,-113.95374656410088,50.90401834170704
