INSTDATE,FIRSTROAD,SECONDROAD,QUADRANT,INT_TYPE,PEDBUTTONS,PED_TIMER,ACCESSIBLE PEDESTRIAN SIGNAL,latitude,longitude,Point,Count
1969/04/01,KENSINGTON ROAD,12 STREET,NW,Overhead Flasher,Yes,No,,51.05251352467947,-114.09173973038159,POINT (-114.091739730382 51.052513524679),1
2005/02/09,COUNTRY HILLS BOULEVARD,COVENTRY HILLS BOULEVARD,NE,Traffic signal T intersection,Yes,No,,51.15421061143442,-114.05247454615964,POINT (-114.05247454616 51.154210611434),1
2000/11/13,McCALL WAY,PEGASUS ROAD,NE,Traffic signal,Yes,No,,51.094081325342735,-114.01147774331355,POINT (-114.011477743314 51.094081325343),1
1973/01/01,72 AVENUE,CENTRE STREET,N,Traffic signal,Yes,No,,51.11799160169015,-114.069587594341,POINT (-114.069587594341 51.11799160169),1
1957/01/01,9 AVENUE,15 STREET/17 AVENUE,SE,Traffic signal,Yes,No,,51.037738985756455,-114.02512227583253,POINT (-114.025122275833 51.037738985756),1
1995/10/23,COUNTRY HILLS BOULEVARD,SARCEE TRAIL,NW,Traffic signal,Yes,No,,51.137646944952586,-114.16438782401332,POINT (-114.164387824013 51.137646944953),1
1959/01/01,50 AVENUE,MACLEOD TRAIL,SW,Traffic signal,Yes,No,,51.00872110906818,-114.06778526331208,POINT (-114.067785263312 51.008721109068),1
1990/11/14,90 AVENUE,BAYVIEW DRIVE,SW,Traffic signal,Yes,No,,50.972235352260796,-114.11168613500655,POINT (-114.111686135007 50.972235352261),1
1985/01/01,32 AVENUE,26 STREET,NE,Traffic signal,Yes,No,,51.081487352160174,-113.99820173760153,POINT (-113.998201737602 51.08148735216),1
1966/01/01,3 AVENUE,CENTRE STREET,S,Traffic signal,No,Yes,,51.05027630565439,-114.06266867776802,POINT (-114.062668677768 51.050276305654),1
1978/01/01,ANDERSON ROAD,14 STREET,SW,Traffic signal,No,No,,50.950480655778584,-114.09478695419816,POINT (-114.094786954198 50.950480655779),1
1987/08/27,9 AVENUE,3 STREET,SE,Traffic signal,No,Yes,,51.0444005433308,-114.0557158731149,POINT (-114.055715873115 51.044400543331),1
1978/08/01,40 AVENUE,VARSCLIFF ROAD/52 STREET,NW,Overhead Flasher,Yes,No,,51.08827037497204,-114.16188160632304,POINT (-114.161881606323 51.088270374972),1
1974/01/01,BLACKFOOT TRAIL,SOUTHLAND DRIVE,SE,Traffic signal,Yes,Yes,,50.9657755954625,-114.03859521406962,POINT (-114.03859521407 50.965775595463),1
2011/02/22,64 AVENUE,DEERFOOT TRAIL,NE,1/4 signal,No,No,,51.11060503728487,-114.04501131056149,POINT (-114.045011310561 51.110605037285),1
2001/09/10,CROWFOOT WAY,CROWFOOT CRES/CROWFOOT CIR,NW,Traffic signal,Yes,No,,51.125596069496176,-114.20704002629759,POINT (-114.207040026298 51.125596069496),1
1990/09/04,5 AVENUE,28 STREET,NE,Traffic signal,Yes,No,,51.05649581936461,-113.99328154300763,POINT (-113.993281543008 51.056495819365),1
1989/10/10,15 AVENUE,1 STREET,SE,Traffic signal,No,No,,51.03850059945528,-114.06107007401025,POINT (-114.06107007401 51.038500599455),1
1986/01/01,12 AVENUE,7 STREET,SW,Traffic signal,No,Yes,,51.04186995057634,-114.07907030857753,POINT (-114.079070308578 51.041869950576),1
1981/01/01,33 AVENUE,29 STREET,SW,Traffic signal,Yes,No,,51.02531032454523,-114.12961809650949,POINT (-114.129618096509 51.025310324545),1
2005/04/18,CHAPARRAL BOULEVARD,CHAPARRAL DR/CHAPARRAL RIDGE D,SE,Traffic signal,Yes,Yes,,50.88584812297496,-114.02471478219788,POINT (-114.024714782198 50.885848122975),1
2017/12/15,50 AVENUE,21A STREET,SW,Pedestrian RRFB,Yes,No,,51.008710372803044,-114.11375436269701,POINT (-114.113754362697 51.008710372803),1
2007/09/13,23 AVENUE,CENTRE STREET,N,Overhead Flasher,Yes,,,51.0733990406677,-114.06251856161225,POINT (-114.062518561612 51.073399040668),1
2011/12/20,WALDEN GATE,WALDEN LINK,SE,Traffic signal,Yes,No,,50.87578986565474,-114.03580588905758,POINT (-114.035805889058 50.875789865655),1
2008/06/02,MEMORIAL DRIVE,47 STREET,E,Overhead Flasher,Yes,No,,51.052855377663974,-113.96372758209986,POINT (-113.9637275821 51.052855377664),1
1986/10/23,56 AVENUE/NORTHMOUNT DRIVE,CENTRE STREET,N,Traffic signal,Yes,No,,51.10264645677101,-114.06241518585297,POINT (-114.062415185853 51.102646456771),1
2010/04/13,4 STREET,22 AVENUE,SW,Overhead Flasher,Yes,No,,51.03336273962216,-114.0714989295699,POINT (-114.07149892957 51.033362739622),1
2017/12/28,MARTINBROOK GATE,MARTINDALE BOULEVARD,NE,Pedestrian RRFB,Yes,No,,51.1142863397127,-113.95541564190059,POINT (-113.955415641901 51.114286339713),1
1986/06/01,8 AVENUE,47 STREET,SE,Overhead Flasher,Yes,No,,51.04519989173611,-113.9657171073991,POINT (-113.965717107399 51.045199891736),1
2012/04/12,SUN VALLEY BOULEVARD,SUN HARBOUR ROAD/SIKOME ROAD,SE,Pedestrian RRFB,Yes,No,,50.900736054153086,-114.02430778539674,POINT (-114.024307785397 50.900736054153),1
2004/05/20,SHAWVILLE BOULEVARD,SHAWVILLE PLACE/LRT PARK'N'RIDE,SE,Traffic signal,Yes,Yes,,50.91027404733602,-114.06942762692289,POINT (-114.069427626923 50.910274047336),1
2019/01/15,AIRPORT TRAIL,METIS TRAIL,NE,Traffic signal,Yes,Yes,,51.13974138909981,-113.97002913525193,POINT (-113.970029135252 51.1397413891),1
1981/01/01,16 AVENUE,12 STREET,NW,Traffic signal,Yes,Yes,,51.066874663352,-114.08978822675606,POINT (-114.089788226756 51.066874663352),1
1959/01/01,KENSINGTON ROAD,CROWCHILD TRAIL,NW,Traffic signal,Yes,Yes,,51.0524711384363,-114.11795567670342,POINT (-114.117955676703 51.052471138436),1
2017/09/06,MARBANK DRIVE,48 STREET,NE,Pedestrian RRFB,Yes,No,,51.06328102471032,-113.96394338246866,POINT (-113.963943382469 51.06328102471),1
1987/12/01,FAIRMOUNT DRIVE,83 AVENUE,SE,Overhead Flasher,Yes,No,,50.97817935205981,-114.05994384394896,POINT (-114.059943843949 50.97817935206),1
2003/07/16,14 AVENUE,CENTRE STREET,N,Overhead Flasher,Yes,No,,51.06543381570864,-114.06251038824927,POINT (-114.062510388249 51.065433815709),1
1990/03/09,17 AVENUE,9 STREET,SW,Traffic signal,No,Yes,,51.037820944879314,-114.08425351410983,POINT (-114.08425351411 51.037820944879),1
1970/01/01,26 AVENUE,20 STREET,SW,Traffic signal,Yes,No,,51.03042845858314,-114.1094594010647,POINT (-114.109459401065 51.030428458583),1
1992/08/18,BERKSHIRE BOULEVARD/MACEWAN GLEN DR,14 STREET,NW,Traffic signal,Yes,No,,51.13161024007132,-114.1062837423391,POINT (-114.106283742339 51.131610240071),1
2012/10/02,7 AVENUE,11 STREET,SW,Traffic signal,No,Yes,,51.047226502392625,-114.08858377701597,POINT (-114.088583777016 51.047226502393),1
